content_id,mean_accuracy,question_asked
0,0.9077212806026366,6903
1,0.8906461205731279,7398
2,0.554281260438704,44905
3,0.7794367300744353,22973
4,0.6132152760272246,31736
5,0.8618279017168705,9727
6,0.47454458885146455,56707
7,0.8660235152246005,16585
8,0.9066198008201524,8535
9,0.30391162928230475,47346
10,0.6839543579164518,31024
11,0.8869136540185241,6694
12,0.7598797674189416,20294
13,0.8872205538872205,8991
14,0.7996694214876033,15125
15,0.7056417836905642,20295
16,0.4256297113439971,5439
17,0.869810655062919,8503
18,0.8281026423733664,20966
19,0.8270872652107486,11127
20,0.9754393394029218,4723
21,0.7506854161139117,11307
22,0.8646725523784424,7589
23,0.7344802694898941,8312
24,0.6564032858578098,16921
25,0.7849063687989862,21307
26,0.8202570921985816,9024
27,0.6643461402890377,11348
28,0.6455671605538014,20585
29,0.49626940915507156,4959
30,0.8943147815679234,8355
31,0.8572703667640377,12324
32,0.8626984126984127,8820
33,0.7967708626677931,10653
34,0.6632193814038112,10443
35,0.8489337249393436,7831
36,0.9074014046461373,9255
37,0.8322243346007605,16832
38,0.9612286002014099,7944
39,0.5926249328318108,29776
40,0.8362683156338218,7439
41,0.9702755478411803,4609
42,0.9740384615384615,6240
43,0.9284388772906518,8622
44,0.9256209323947403,7529
45,0.6872171020341387,36674
46,0.9181144781144781,7425
47,0.7496176980324192,9809
48,0.833555906276557,8237
49,0.7100782328578003,2173
50,0.9183683005467034,21401
51,0.9297299539552827,24107
52,0.7899534646522598,31374
53,0.8418120376290072,10949
54,0.7113684210526315,9500
55,0.6018243844556511,40452
56,0.7188802357398443,23755
57,0.9046039538277829,7537
58,0.38172563556391603,36149
59,0.8541954181617444,14492
60,0.8103461748847386,12797
61,0.7614761955479816,18778
62,0.6710966931770616,19112
63,0.7385140105664415,14953
64,0.6800774345593805,35643
65,0.8734177215189873,22989
66,0.9375097155293021,6433
67,0.905933762649494,8696
68,0.9446395953351131,7117
69,0.49327737070498684,14057
70,0.9674162459843965,6537
71,0.811134523677498,9017
72,0.7436131983012088,15305
73,0.850568489442339,7388
74,0.26904487917146147,4345
75,0.8390716092839071,9091
76,0.5926619529906364,26165
77,0.6995323036763106,18388
78,0.8400335647265238,13109
79,0.913629272443625,7051
80,0.8261323003575686,6712
81,0.8335625859697386,5089
82,0.7622277757943592,2801
83,0.7950434641758004,18521
84,0.8384321223709369,8368
85,0.7435396175697966,16369
86,0.7474904105117114,12253
87,0.9206374758531873,6212
88,0.5743617021276596,18800
89,0.9208596529441662,13773
90,0.9621258399511301,4911
91,0.8946410850148859,6046
92,0.7904967602591793,2778
93,0.9414502694757472,8164
94,0.9285714285714286,5684
95,0.7293013555787279,9590
96,0.7939760906691508,6441
97,0.8986458760771441,7311
98,0.7605283923196072,34217
99,0.9501528332941453,8506
100,0.35356817886390224,15386
101,0.8040062843676355,2546
102,0.8475278651043155,6998
103,0.6591945004856908,13383
104,0.8765270912990768,21446
105,0.7485140797037904,10263
106,0.8616941928609483,9385
107,0.6475305729941576,27557
108,0.8459405940594059,20200
109,0.9748249100889647,5283
110,0.6241089905725454,34792
111,0.852669446488431,12231
112,0.9537109887227905,7626
113,0.8983389402859546,9512
114,0.6672558961715588,21497
115,0.9786661885980639,5578
116,0.7917414721723519,2228
117,0.9341038926531154,7527
118,0.9054752987337257,11214
119,0.8811870914184913,9637
120,0.8435976960567124,20313
121,0.79514687100894,11745
122,0.6844116601493068,22504
123,0.788844424682575,20241
124,0.7483529890199268,12295
125,0.7673969803609945,8809
126,0.8576163513326889,14482
127,0.9078792167964143,8478
128,0.9668688516234263,19619
129,0.7687011919441019,9732
130,0.768294501953999,33521
131,0.8605108055009824,14252
132,0.8899374923397475,8159
133,0.867003367003367,7128
134,0.4280798721179116,36909
135,0.9228652664404292,10903
136,0.8687848976336081,7522
137,0.9335378323108384,978
138,0.8483128834355829,13040
139,0.8039011402442554,17277
140,0.8738553541394132,10702
141,0.8805037586644537,10243
142,0.7801824360579502,16773
143,0.8172914555893279,8883
144,0.7010930372665461,23238
145,0.8261600537995964,8922
146,0.7029192902117917,1747
147,0.9601328903654485,903
148,0.8297672832665587,11731
149,0.580189468751046,29873
150,0.7905759162303665,8977
151,0.9284207353827607,6636
152,0.8825706895013826,22422
153,0.7437225266453905,16607
154,0.8732758620689656,1160
155,0.8947527141133896,6632
156,0.9318899213088516,22493
157,0.5659967409016838,33138
158,0.9458901280462618,4842
159,0.61391422839623,26419
160,0.8813236972232789,5258
161,0.914353752668747,12178
162,0.8686171680927408,7246
163,0.955806508980971,11246
164,0.7305826696209354,16699
165,0.6512336823985081,27884
166,0.8731397648038297,9609
167,0.9514771161793969,6533
168,0.9268221003134797,10208
169,0.8195153061224489,7840
170,0.7267669743330383,15818
171,0.759233926128591,23392
172,0.46138678935261257,30430
173,0.7856439435386804,18278
174,0.8486204872321691,13628
